Alert,Description,MITRE tactics,Severity,Alert Family,Alert Type ()
(Preview) Suspicious population-level spike in API traffic to an API endpoint,A suspicious spike in API traffic was detected at one of the API endpoints. The detection system used historical traffic patterns to establish a baseline for routine API traffic volume between all IPs and the endpoint  with the baseline being specific to API traffic for each status code (such as 200 Success). The detection system flagged an unusual deviation from this baseline leading to the detection of suspicious activity.,Impact,Medium,Alerts for Defender for APIs,(API_PopulationSpikeInAPITraffic)
(Preview) Suspicious spike in API traffic from a single IP address to an API endpoint,A suspicious spike in API traffic was detected from a client IP to the API endpoint. The detection system used historical traffic patterns to establish a baseline for routine API traffic volume to the endpoint coming from a specific IP to the endpoint. The detection system flagged an unusual deviation from this baseline leading to the detection of suspicious activity.,Impact,Medium,Alerts for Defender for APIs,(API_SpikeInAPITraffic)
(Preview) Unusually large response payload transmitted between a single IP address and an API endpoint,A suspicious spike in API response payload size was observed for traffic between a single IP and one of the API endpoints. Based on historical traffic patterns from the last 30 days  Defender for APIs learns a baseline that represents the typical API response payload size between a specific IP and API endpoint. The learned baseline is specific to API traffic for each status code (e.g.  200 Success). The alert was triggered because an API response payload size deviated significantly from the historical baseline.,Initial access,Medium,Alerts for Defender for APIs,(API_SpikeInPayload)
(Preview) Unusually large request body transmitted between a single IP address and an API endpoint,A suspicious spike in API request body size was observed for traffic between a single IP and one of the API endpoints. Based on historical traffic patterns from the last 30 days  Defender for APIs learns a baseline that represents the typical API request body size between a specific IP and API endpoint. The learned baseline is specific to API traffic for each status code (e.g.  200 Success). The alert was triggered because an API request size deviated significantly from the historical baseline.,Initial access,Medium,Alerts for Defender for APIs,(API_SpikeInPayload)
(Preview) Suspicious spike in latency for traffic between a single IP address and an API endpoint,A suspicious spike in latency was observed for traffic between a single IP and one of the API endpoints. Based on historical traffic patterns from the last 30 days  Defender for APIs learns a baseline that represents the routine API traffic latency between a specific IP and API endpoint. The learned baseline is specific to API traffic for each status code (e.g.  200 Success). The alert was triggered because an API call latency deviated significantly from the historical baseline.,Initial access,Medium,Alerts for Defender for APIs,(API_SpikeInLatency)
(Preview) API requests spray from a single IP address to an unusually large number of distinct API endpoints,A single IP was observed making API calls to an unusually large number of distinct endpoints. Based on historical traffic patterns from the last 30 days  Defenders for APIs learns a baseline that represents the typical number of distinct endpoints called by a single IP across 20-minute windows. The alert was triggered because a single IP's behavior deviated significantly from the historical baseline.,Discovery,Medium,Alerts for Defender for APIs,(API_SprayInRequests)
(Preview) Parameter enumeration on an API endpoint,A single IP was observed enumerating parameters when accessing one of the API endpoints. Based on historical traffic patterns from the last 30 days  Defender for APIs learns a baseline that represents the typical number of distinct parameter values used by a single IP when accessing this endpoint across 20-minute windows. The alert was triggered because a single client IP recently accessed an endpoint using an unusually large number of distinct parameter values.,Initial access,Medium,Alerts for Defender for APIs,(API_ParameterEnumeration)
(Preview) Distributed parameter enumeration on an API endpoint,The aggregate user population (all IPs) was observed enumerating parameters when accessing one of the API endpoints. Based on historical traffic patterns from the last 30 days  Defender for APIs learns a baseline that represents the typical number of distinct parameter values used by the user population (all IPs) when accessing an endpoint across 20-minute windows. The alert was triggered because the user population recently accessed an endpoint using an unusually large number of distinct parameter values.,Initial access,Medium,Alerts for Defender for APIs,(API_DistributedParameterEnumeration)
(Preview) Parameter value(s) with anomalous data types in an API call,A single IP was observed accessing one of your API endpoints and using parameter values of a low probability data type (e.g.  string  integer  etc.). Based on historical traffic patterns from the last 30 days  Defender for APIs learns the expected data types for each API parameter. The alert was triggered because an IP recently accessed an endpoint using a previously low probability data type as a parameter input.,Impact,Medium,Alerts for Defender for APIs,(API_UnseenParamType)
(Preview) Previously unseen parameter used in an API call,A single IP was observed accessing one of the API endpoints using a previously unseen or out-of-bounds parameter in the request. Based on historical traffic patterns from the last 30 days  Defender for APIs learns a set of expected parameters associated with calls to an endpoint. The alert was triggered because an IP recently accessed an endpoint using a previously unseen parameter.,Impact,Medium,Alerts for Defender for APIs,(API_UnseenParam)
